Quantity,Designator,Manufacturer Part Number,Comment,Description,Footprint,LibRef

"6","C1, C2, C3, C4, C5, C6","EEEFK1J330P","33uF","Cap Aluminum 33uF 63V 20% (8 X 10.2mm) SMD 250mA 2000h 105 C T/R","PCB-9g04u1co75526zy4kkrl-1","CMP-7693bfcb6deba954-3"
"4","C7, C8, C9, C10","HMK325C7475MM-PE","4.7uF","Cap , Midhigh Vol, 1210, 100v, X7s, 4.7uf20% , t&r","CAPC3225X229X50ML20T25","CMP-cbb5062a85501472-2"
"2","C11, C17","12101C105KAT2A","1uF","CAP CER 1UF 100V 10% X7R 1210","CAPC3225X279X50ML20T25","CMP-127163-3"
"3","C12, C13, C18","08055C104JAT2A","100nF","Capacitor; Ceramic; Cap 0.1 uF; Tol 5%; Vol-Rtg 50 VDC; SMT; 0805; X7R; Tape & Reel","CAPC2013X140X50ML20T25","CMP-54a29ee556ae8b65-2"
"1","C14","0805ZD475KAT2A","4.7uF","CAP CER 4.7UF 10V 10% X5R 0805","CAPC2013X140X50ML20T25","CMP-126761-3"
"1","C15","08055C474JAT2A","470nF","Multilayer Ceramic Capacitors MLCC - SMD/SMT .47uF 50v 20% Tol.","CAPC2013X140X50ML20T25","CMP-3555014-4"
"1","C16","08055C104JAT2A","DNF","Capacitor; Ceramic; Cap 0.1 uF; Tol 5%; Vol-Rtg 50 VDC; SMT; 0805; X7R; Tape & Reel","CAPC2013X140X50ML20T25","CMP-54a29ee556ae8b65-2"
"1","C19","08055C103JAT2A","10nF","cap smd 0805","CAPC2013X94X50ML20T25","CMP-16466678-4"
"1","D1","LTST-C170KRKT","Lite-On LTST-C170KRKT","Red 2 x 1.25 x 1.1 mm 130° Water Clear 54 mcd 2 V LED Surface Mount","PCB-5ta9mte2am12bu12jwvi-1","CMP-1544870-4"
"1","F1","0154010.DR","10A","154 Series Fast-Acting 125 V 10 A OMNI-BLOK® Surface Mount Fuse & Holder","PCB-nlucop3bvobg45y57dd7-1","CMP-254385-4"
"1","J1","1757242","Input","Phoenix 1757242 MSTBA 2.5/ 2-G-5.08 Base Strip/Header 4 Kilo-Volt Surge 320 Volt Rated III/2 12 Amp Green Plug-In","PCB-aknpg75yzj2hq04tmkjt-1","CMP-0680cf8a1162d947-2"
"1","J2","1757242","","Phoenix 1757242 MSTBA 2.5/ 2-G-5.08 Base Strip/Header 4 Kilo-Volt Surge 320 Volt Rated III/2 12 Amp Green Plug-In","PCB-aknpg75yzj2hq04tmkjt-1","CMP-0680cf8a1162d947-2"
"1","L1","7443631000","7443631000","SMD High Current Inductor WE-HCF, L=10.0 µH","WE-HCF-2013","CMP-913017-2"
"1","LP1","RLP1-200-500","Bivar RLP1-200-500","Single Station; 2.8mm; Enhanced Rigid Light Pipe; 5.0mm Elevation; 14.0mm Protrusion","PCB-yzipw91yj2ww1iciyfp2-1","CMP-b0a0789a751f6f67-3"
"4","Q1, Q2, Q3, Q4","BSC027N06LS5ATMA1","BSC027N06LS5","N-Channel OptiMOS5 Power Transistor, 60V VDS, 100A ID, PG-TDSON-8-1","INF-PG-TDSON-8-1_V","CMP-9dc451c8cc734203-2"
"1","R1","ERJ-MS4HF10MU","0.01","Res Metal Alloy 2512 10m Ohm 1% 2W ±75ppm/°C Molded SMD Embossed Carrier T/R","Resistor","CMP-3ffef57a43e1e039-1"
